stop_id,stop_name,stop_lon,stop_lat
istb.540,Kınalıada ŞH.,29.055537864,40.91057377
istb.541,Burgazada ŞH.,29.070601567,40.88114657
istb.564,Bostancı ŞH.,29.094057794,40.951485917
istb.528,Büyükada ŞH.,29.127976077,40.875772013
istb.511,Heybeliada ŞH.,29.102048658,40.877072422
istb.526,Yeni Kadıköy ŞH.,29.022709887,40.992993379
istb.517,Kabataş ŞH.,28.993601313,41.033707014
istb.519,Anadolu Kavağı ŞH.,29.087903935,41.173396231
istb.516,Rumeli Kavağı ŞH.,29.075199668,41.181627667
istb.532,Sarıyer ŞH.,29.057584654,41.166269388
istb.561,Kanlıca ŞH.,29.065258217,41.10030966
istb.521,Beşiktaş-Üsküdar ŞH.,29.007361837,41.041040505
istb.525,Eminönü-Üsküdar ŞH.,28.976263159,41.017114148
istb.512,Beykoz ŞH.,29.090313328,41.134311015
istb.529,Paşabahçe ŞH.,29.093198913,41.116817064
istb.514,Çubuklu ŞH.,29.080439978,41.107464371
istb.554,Anadolu Hisarı ŞH.,29.066542996,41.083287781
istb.569,Çengelköy ŞH.,29.051417557,41.051032185
istb.563,Beylerbeyi ŞH.,29.044542188,41.045037527
istb.538,Ortaköy ŞH.,29.025685515,41.047176412
istb.555,Arnavutköy ŞH.,29.043434351,41.06677788
istb.566,Bebek ŞH.,29.044550745,41.076320062
istb.536,Kandilli ŞH.,29.058228391,41.074562274
istb.562,Emirgan ŞH.,29.05613055,41.103060584
istb.560,Üsküdar ŞH.,29.014965992,41.027771506
istb.518,Küçüksu ŞH.,29.065115662,41.079176515
istb.545,İstinye ŞH.,29.061313227,41.113266915
istb.546,Haydarpaşa ŞH.,29.017828966,40.996178541
istb.548,Karaköy ŞH.,28.976570707,41.021760805
istb.534,Eminönü-Kadıköy ŞH.,28.975159856,41.017545704
istb.547,Eyüp ŞH.,28.937830667,41.047314964
istb.549,Sütlüce ŞH.,28.9406836,41.046638031
istb.550,Ayvansaray ŞH.,28.944816008,41.040805782
istb.524,Hasköy ŞH.,28.949099161,41.040583416
istb.530,Kasımpaşa ŞH.,28.966173223,41.030375547
istb.542,Eminönü-Haliç ŞH.,28.968875751,41.019498916
istb.568,Beşiktaş-Kadıköy ŞH.,29.0056554,41.039952744
istb.800323,Söğütlüçeşme,29.037997016,40.991288459
istb.800029,Fikirtepe,29.047433643,40.993731425
istb.800030,Uzunçayır,29.056608794,40.998922929
istb.800031,Acıbadem,29.057260256,41.014565713
istb.800033,Altunizade,29.048624838,41.02153817
istb.800034,Burhaniye Mahallesi,29.047079236,41.032208368
istb.800035,Boğaz Köprüsü,29.043500059,41.036416067
istb.800045,Zincirlikuyu,29.013061185,41.066153985
istb.800047,Topkapı,28.91737789,41.020360304
istb.800041,Cevizlibağ,28.911445954,41.016760948
istb.800040,Merter,28.897650779,41.007811033
istb.800039,Zeytinburnu Metro,28.89064841,41.003306818
istb.800038,İncirli - Ömür,28.872165238,40.997785058
istb.800028,Bahçelievler,28.863471931,40.995059278
istb.800027,Şirinevler,28.846399081,40.991706708
istb.800026,Yenibosna - Kuleli,28.835192544,40.992319262
istb.800025,Sefaköy,28.798517665,40.998583234
istb.800324,Beşyol,28.794867155,40.994276338
istb.800024,Florya - Bağlar,28.790002389,40.987354769
istb.800023,Cennet,28.783087974,40.985369529
istb.800022,Küçükçekmece,28.77009793,40.986469373
istb.800021,İETT Kampı,28.745043486,40.977968307
istb.800020,Şükrübey,28.731838244,40.980087755
istb.800019,İÜ Avcılar Kampüsü,28.725868387,40.983626591
istb.800046,Mecidiyeköy,28.991872515,41.06687435
istb.800042,Çağlayan,28.980710073,41.067365889
istb.800043,SSK Okmeydanı Hastanesi,28.976073013,41.067422007
istb.800036,Perpa,28.967938662,41.062612511
istb.800037,Okmeydanı,28.961027664,41.056398226
istb.800032,Halıcıoğlu,28.946368511,41.048830339
istb.800049,Ayvansaray,28.937969256,41.03905477
istb.800048,Edirnekapı,28.929490127,41.033378702
istb.800181,Maltepe,28.92148128,41.023939637
istb.800333,Avcılar Merkez,28.713823319,40.990600262
istb.800334,Mustafa Kemal Paşa,28.706380972,40.994944392
istb.800335,Saadetdere Mah.,28.693115165,40.999728681
istb.800331,Haramidere Sanayi,28.685049601,41.004377083
